id,created,updated,five_why_response_id,flash_report_id,root_cause_detail_id,action_id,filename,extension,shared_learning_id,feedback_id
177,2022-10-01 00:04:23.038094+00,2022-10-01 03:35:31.823266+00,\N,\N,\N,\N,flash_report_a6ca7ea8-7f6b-47b8-89c5-254151f64dea.jpeg,.jpeg,\N,
178,2022-10-01 03:35:31.824342+00,2022-10-01 05:45:43.947319+00,\N,\N,\N,\N,flash_report_2c7da595-75a2-4f39-8a3b-f0be266b07c6.jpeg,.jpeg,\N,
181,2022-10-03 00:31:49.885293+00,2022-10-03 00:31:49.88534+00,\N,72,\N,\N,flash_report_d6b17330-2f0a-467c-94c8-21887801fea3.jpeg,.jpeg,\N,
179,2022-10-01 05:45:43.948098+00,2022-10-04 07:01:10.495225+00,\N,\N,\N,\N,flash_report_a935564e-02e6-46ea-ae57-bf8ebc228e4c.jpeg,.jpeg,\N,
182,2022-10-04 07:01:10.497576+00,2022-10-04 07:01:10.497605+00,\N,71,\N,\N,flash_report_860223a6-7dfb-4b1b-b23a-7e9d790be1ee.jpeg,.jpeg,\N,
180,2022-10-02 07:56:39.778362+00,2022-10-04 07:15:54.659347+00,\N,\N,\N,\N,shared_learning_2011e4d3-d182-4b80-9779-0a67de926cb4.jpeg,.jpeg,\N,
183,2022-10-04 07:15:54.662513+00,2022-10-04 07:16:45.775614+00,\N,\N,\N,\N,shared_learning_e8d603d0-3005-4b21-8f69-fed087fa90a0.jpeg,.jpeg,\N,
184,2022-10-04 07:16:45.776644+00,2022-10-04 07:16:45.77667+00,\N,\N,\N,\N,shared_learning_7f432579-1e3a-4a37-96b6-81f7702db8b3.jpeg,.jpeg,31,
185,2022-10-06 00:14:52.241653+00,2022-10-06 00:14:52.241704+00,\N,73,\N,\N,flash_report_c6779a6a-ea80-4d52-921d-779d0db89281.jpeg,.jpeg,\N,
186,2022-10-11 01:14:42.745706+00,2022-10-11 01:14:42.745858+00,\N,74,\N,\N,flash_report_bd67e7a2-c74c-4012-a2ff-15f67e370e4e.jpeg,.jpeg,\N,
187,2022-10-11 01:34:08.144796+00,2022-10-11 01:34:08.144828+00,116,\N,\N,\N,five_why_0171934d-c53b-4e8d-b0ea-b5721157135e.jpeg,.jpeg,\N,
