id,created,updated,action_id,user_id
7119,2022-10-27 06:17:28.965805+00,2022-10-27 06:17:28.965839+00,15572,4851
7120,2022-10-27 06:49:20.377594+00,2022-10-27 06:49:20.377619+00,15970,15490
1545,2022-08-01 00:00:00+00,2022-10-26 02:38:08.404257+00,\N,12578
7121,2022-10-27 07:12:04.261565+00,2022-10-27 07:12:04.261595+00,15971,15490
1686,2022-08-01 00:00:00+00,2022-10-26 02:25:33.358097+00,\N,2765
1651,2022-08-01 00:00:00+00,2022-10-26 03:04:16.017903+00,\N,9502
1688,2022-08-01 00:00:00+00,2022-10-26 03:29:15.984392+00,\N,3267
7122,2022-10-27 09:21:33.675651+00,2022-10-27 09:21:33.675686+00,15972,12694
1740,2022-08-01 00:00:00+00,2022-10-25 00:28:55.679747+00,\N,2765
1739,2022-08-01 00:00:00+00,2022-10-26 02:09:36.040465+00,\N,1396
1738,2022-08-01 00:00:00+00,2022-10-26 02:12:59.866249+00,\N,2765
1742,2022-08-01 00:00:00+00,2022-10-26 03:26:21.879719+00,\N,2765
1741,2022-08-01 00:00:00+00,2022-10-26 03:27:30.743343+00,\N,2765
7123,2022-10-27 09:23:07.4418+00,2022-10-27 09:23:07.441834+00,15973,12694
7124,2022-10-27 09:27:18.531985+00,2022-10-27 09:27:18.532084+00,15974,12694
3940,2022-08-01 00:00:00+00,2022-10-25 00:15:29.878866+00,\N,1216
3895,2022-08-01 00:00:00+00,2022-10-26 02:36:12.707657+00,\N,3055
7125,2022-10-27 09:28:06.660691+00,2022-10-27 09:28:06.660724+00,15975,12694
7126,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15004,4315
7127,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15072,13124
7128,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15073,4315
7129,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15074,4315
7130,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14955,909
7131,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14959,3366
7132,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15336,5692
7133,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15337,5692
7134,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15339,3366
7135,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15076,909
7136,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14972,1302
7137,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15450,13124
7138,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15077,3366
7139,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15358,3366
7140,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15359,3366
7141,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15079,5692
7142,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15080,13124
7143,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15081,8084
7144,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15461,4505
7145,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15085,10898
7146,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15086,4680
7147,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15390,3366
7148,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15089,6907
7149,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15090,10898
7150,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15098,6907
7151,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15403,3366
7152,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15099,4930
7153,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15424,909
7154,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15112,11150
7155,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15325,11150
7156,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14907,3366
7157,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14909,10497
7158,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14910,13358
7159,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14914,13358
7160,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15005,3366
7161,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15007,5692
7162,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14918,8084
7163,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15431,4315
7164,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15432,4315
7165,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15114,11150
7166,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15115,3641
7167,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15116,5692
7168,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15117,5692
7169,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15118,10898
7170,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15119,10818
7171,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15120,10818
7172,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15121,10818
7173,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15008,4862
7174,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15434,4862
7175,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15122,8084
7176,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15123,1360
7177,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15124,5692
7178,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15125,3366
7179,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15126,4315
7180,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15127,3366
7181,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15128,3366
7182,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15440,3366
7183,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14919,13575
7184,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15130,10818
7185,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15131,10818
7186,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14937,10818
7187,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14938,4315
7188,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14940,7750
7189,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14946,1739
7190,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14948,10818
7191,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15132,10898
7192,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15331,5692
7193,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15332,5692
7194,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15333,4315
7195,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15335,3366
7196,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15134,5692
7197,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14957,7750
7198,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14960,7750
7199,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14962,7750
7200,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14963,909
7201,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14964,10898
7202,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15137,9038
7203,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15447,3366
7204,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15138,10898
7205,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15139,8084
7206,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15342,3366
7207,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15343,1360
7208,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14966,10491
7209,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,14971,9038
7210,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15350,13358
7211,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15351,10491
7212,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15106,7750
7213,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15140,5692
7214,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15352,9038
7215,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15353,9038
7216,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15354,7750
7217,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15449,3366
7218,2022-08-01 00:00:00+00,2022-08-01 00:00:00+00,15355,3366
