object,part_code,part
Valve,G007,Gasket
Valve,I004,ID Tag
Valve,L018,Line
Valve,L050,Linkages
Valve,Z999,No Object Found
Valve,P078,Positioner
Valve,R055,Rotor
Valve,S012,Seal
Valve,S066,Sign
Valve,S087,Solenoid
Valve,S105,Spring
Valve,S125,Stopper
Valve,T070,Tube
Valve,V001,Valve
Valve,V047,Valve Seat
Valve,Z995,Whole Unit
Valve,W033,Wiring
Variable Speed Drive,C002,Cable
Variable Speed Drive,C067,Connector
Variable Speed Drive,C072,Control
Variable Speed Drive,C160,Covers
Variable Speed Drive,F001,Fan
Variable Speed Drive,F011,Filter
Variable Speed Drive,M019,Motor
Variable Speed Drive,M023,Mount
Variable Speed Drive,Z999,No Object Found
Variable Speed Drive,S085,Software
Variable Speed Drive,T106,Transistor
Variable Speed Drive,V054,VSD
Variable Speed Drive,Z995,Whole Unit
Weightometer,B015,Bearing
Weightometer,C149,Component
Weightometer,F038,Frame
Weightometer,G048,Guard
Weightometer,I033,Instrument
Weightometer,L051,Load Cell
Weightometer,Z999,No Object Found
Weightometer,S066,Sign
Weightometer,S209,Structure
Weightometer,W049,Weightometer
Weightometer,Z995,Whole Unit
Winch Assembly,Z999,No Object Found
Winch Assembly,Z995,Whole Unit
Winch Rope,Z999,No Object Found
Winch Rope,Z995,Whole Unit
