object,damage_code,damage
Heater,D999,Other Reason (Explain)
Heater,D012,"Siezed (Stuck,Frozen,Jammed)"
Hopper,D002,"Broken (Cracked,Leaking,Holed)"
Hopper,D003,"Burnt (Fused,Melted)"
Hopper,D024,Corroded
Hopper,D025,Cracked
Hopper,D005,"Deformed (Bent,Twisted)"
Hopper,D006,"Deteriorated (Worn,Corroded,Depleted)"
Hopper,D007,End of Life
Hopper,D028,Failed
Hopper,D008,Loose (Detached)
Hopper,D998,No Fault Found
Hopper,D999,Other Reason (Explain)
Hopper,D012,"Siezed (Stuck,Frozen,Jammed)"
Hopper,D063,Worn
Hose Line and Fitting,D019,Broken
Hose Line and Fitting,D221,Damaged
Hydraulic Motor,D001,Blockage
Hydraulic Motor,D037,Leaking
Hydraulic Motor,D008,Loose (Detached)
Hydraulic System,D001,Blockage
Hydraulic System,D024,Corroded
Hydraulic System,D221,Damaged
Hydraulic System,D222,Defective
Hydraulic System,D006,"Deteriorated (Worn,Corroded,Depleted)"
Hydraulic System,D028,Failed
Hydraulic System,D243,Inefficient
Hydraulic System,D037,Leaking
Hydraulic System,D063,Worn
Idler/Roller,D019,Broken
Idler/Roller,D178,Collapsed
Idler/Roller,D024,Corroded
Idler/Roller,D025,Cracked
Idler/Roller,D221,Damaged
Idler/Roller,D028,Failed
Idler/Roller,D037,Leaking
Idler/Roller,D008,Loose (Detached)
Idler/Roller,D158,Seized/Jammed
Idler/Roller,D063,Worn
Idlers/Roller,D017,Bent
Idlers/Roller,D002,"Broken (Cracked,Leaking,Holed)"
Idlers/Roller,D003,"Burnt (Fused,Melted)"
Idlers/Roller,D024,Corroded
Idlers/Roller,D025,Cracked
Idlers/Roller,D005,"Deformed (Bent,Twisted)"
Idlers/Roller,D006,"Deteriorated (Worn,Corroded,Depleted)"
Idlers/Roller,D008,Loose (Detached)
Idlers/Roller,D039,Loss of Thickness
Idlers/Roller,D998,No Fault Found
Idlers/Roller,D999,Other Reason (Explain)
Idlers/Roller,D058,Structural Damage
Idlers/Roller,D063,Worn
Instruments/Controls,D001,Blockage
Instruments/Controls,D019,Broken
Instruments/Controls,D003,"Burnt (Fused,Melted)"
Instruments/Controls,D105,Calibration Fault
Instruments/Controls,D004,Contaminated
Instruments/Controls,D024,Corroded
Instruments/Controls,D025,Cracked
Instruments/Controls,D221,Damaged
Instruments/Controls,D222,Defective
Instruments/Controls,D005,"Deformed (Bent,Twisted)"
Instruments/Controls,D006,"Deteriorated (Worn,Corroded,Depleted)"
Instruments/Controls,D227,Dirty
Instruments/Controls,D228,Discharged
Instruments/Controls,D026,Down to Earth
Instruments/Controls,D007,End of Life
Instruments/Controls,D028,Failed
Instruments/Controls,D031,Fault/Short Circuit
Instruments/Controls,D035,High Temp
Instruments/Controls,D237,Illegible
Instruments/Controls,D239,Inaccurate
Instruments/Controls,D242,Ineffective
Instruments/Controls,D244,Inoperable
Instruments/Controls,D037,Leaking
Instruments/Controls,D008,Loose (Detached)
Instruments/Controls,D042,Missing
Instruments/Controls,D998,No Fault Found
Instruments/Controls,D047,Not Controlling
Instruments/Controls,D999,Other Reason (Explain)
Instruments/Controls,D262,Out of Position
Instruments/Controls,D012,"Siezed (Stuck,Frozen,Jammed)"
Instruments/Controls,D277,Spurious Operation
Instruments/Controls,D063,Worn
Locomotive,D001,Blockage
Locomotive,D002,"Broken (Cracked,Leaking,Holed)"
Locomotive,D025,Cracked
Locomotive,D005,"Deformed (Bent,Twisted)"
Locomotive,D026,Down to Earth
Locomotive,D031,Fault/Short Circuit
Locomotive,D037,Leaking
Locomotive,D008,Loose (Detached)
Locomotive,D998,No Fault Found
Locomotive,D098,Open Circuit
Locomotive,D999,Other Reason (Explain)
Locomotive,D012,"Siezed (Stuck,Frozen,Jammed)"
Lubrication Unit,D001,Blockage
Lubrication Unit,D019,Broken
Lubrication Unit,D218,Bypassing
Lubrication Unit,D004,Contaminated
Lubrication Unit,D025,Cracked
Lubrication Unit,D221,Damaged
Lubrication Unit,D224,Depleted
Lubrication Unit,D006,"Deteriorated (Worn,Corroded,Depleted)"
Lubrication Unit,D230,Empty
Lubrication Unit,D239,Inaccurate
Lubrication Unit,D242,Ineffective
Lubrication Unit,D037,Leaking
Lubrication Unit,D158,Seized/Jammed
Lubrication Unit,D063,Worn
Manifold,D221,Damaged
Manifold,D028,Failed
Metal Detector,D017,Bent
Metal Detector,D019,Broken
Metal Detector,D003,"Burnt (Fused,Melted)"
Metal Detector,D105,Calibration Fault
Metal Detector,D024,Corroded
Metal Detector,D025,Cracked
Metal Detector,D221,Damaged
Metal Detector,D005,"Deformed (Bent,Twisted)"
Metal Detector,D006,"Deteriorated (Worn,Corroded,Depleted)"
Metal Detector,D007,End of Life
Metal Detector,D028,Failed
Metal Detector,D031,Fault/Short Circuit
Metal Detector,D237,Illegible
Metal Detector,D998,No Fault Found
Metal Detector,D070,No Power
Metal Detector,D047,Not Controlling
Metal Detector,D999,Other Reason (Explain)
Metal Detector,D012,"Siezed (Stuck,Frozen,Jammed)"
Monorail,D017,Bent
Monorail,D019,Broken
Monorail,D022,Coating/Lining failure
Monorail,D024,Corroded
Monorail,D025,Cracked
Monorail,D005,"Deformed (Bent,Twisted)"
Monorail,D028,Failed
Monorail,D998,No Fault Found
Monorail,D999,Other Reason (Explain)
Motor,D001,Blockage
Motor,D019,Broken
Motor,D003,"Burnt (Fused,Melted)"
Motor,D022,Coating/Lining failure
Motor,D004,Contaminated
Motor,D024,Corroded
Motor,D025,Cracked
Motor,D006,"Deteriorated (Worn,Corroded,Depleted)"
Motor,D007,End of Life
Motor,D028,Failed
Motor,D031,Fault/Short Circuit
Motor,D035,High Temp
Motor,D237,Illegible
Motor,D242,Ineffective
Motor,D037,Leaking
Motor,D008,Loose (Detached)
Motor,D042,Missing
Motor,D998,No Fault Found
Motor,D071,Noisy
Motor,D999,Other Reason (Explain)
Motor,D049,Overheating
Motor,D158,Seized/Jammed
Motor,D012,"Siezed (Stuck,Frozen,Jammed)"
Motor,D063,Worn
Muffler,D221,Damaged
Panel (Marshalling Etc),D001,Blockage
Panel (Marshalling Etc),D214,Blow Out
Panel (Marshalling Etc),D215,Blown
Panel (Marshalling Etc),D002,"Broken (Cracked,Leaking,Holed)"
Panel (Marshalling Etc),D003,"Burnt (Fused,Melted)"
Panel (Marshalling Etc),D024,Corroded
Panel (Marshalling Etc),D025,Cracked
Panel (Marshalling Etc),D221,Damaged
Panel (Marshalling Etc),D222,Defective
Panel (Marshalling Etc),D005,"Deformed (Bent,Twisted)"
Panel (Marshalling Etc),D006,"Deteriorated (Worn,Corroded,Depleted)"
Panel (Marshalling Etc),D007,End of Life
Panel (Marshalling Etc),D028,Failed
Panel (Marshalling Etc),D031,Fault/Short Circuit
Panel (Marshalling Etc),D034,Frozen/Hot
Panel (Marshalling Etc),D237,Illegible
Panel (Marshalling Etc),D244,Inoperable
Panel (Marshalling Etc),D037,Leaking
Panel (Marshalling Etc),D008,Loose (Detached)
Panel (Marshalling Etc),D252,Malfunction
Panel (Marshalling Etc),D998,No Fault Found
Panel (Marshalling Etc),D070,No Power
Panel (Marshalling Etc),D260,Obsolete
Panel (Marshalling Etc),D999,Other Reason (Explain)
Panel (Marshalling Etc),D048,Other Reason [Explain]
Panel (Marshalling Etc),D049,Overheating
Panel (Marshalling Etc),D265,Perished
Panel (Marshalling Etc),D012,"Siezed (Stuck,Frozen,Jammed)"
Panel (Marshalling Etc),D063,Worn
Piping/Tubing/Hose,D017,Bent
Piping/Tubing/Hose,D001,Blockage
Piping/Tubing/Hose,D002,"Broken (Cracked,Leaking,Holed)"
Piping/Tubing/Hose,D003,"Burnt (Fused,Melted)"
Piping/Tubing/Hose,D022,Coating/Lining failure
Piping/Tubing/Hose,D024,Corroded
Piping/Tubing/Hose,D025,Cracked
Piping/Tubing/Hose,D221,Damaged
Piping/Tubing/Hose,D005,"Deformed (Bent,Twisted)"
Piping/Tubing/Hose,D006,"Deteriorated (Worn,Corroded,Depleted)"
Piping/Tubing/Hose,D120,Erosion
Piping/Tubing/Hose,D028,Failed
Piping/Tubing/Hose,D015,Hollowed
Piping/Tubing/Hose,D037,Leaking
Piping/Tubing/Hose,D008,Loose (Detached)
Piping/Tubing/Hose,D039,Loss of Thickness
Piping/Tubing/Hose,D998,No Fault Found
Piping/Tubing/Hose,D999,Other Reason (Explain)
Piping/Tubing/Hose,D058,Structural Damage
Piping/Tubing/Hose,D063,Worn
Power Pack Hydraulic,D002,"Broken (Cracked,Leaking,Holed)"
Power Pack Hydraulic,D024,Corroded
Power Pack Hydraulic,D025,Cracked
Power Pack Hydraulic,D005,"Deformed (Bent,Twisted)"
Power Pack Hydraulic,D006,"Deteriorated (Worn,Corroded,Depleted)"
Power Pack Hydraulic,D007,End of Life
Power Pack Hydraulic,D034,Frozen/Hot
Power Pack Hydraulic,D037,Leaking
Power Pack Hydraulic,D008,Loose (Detached)
Power Pack Hydraulic,D998,No Fault Found
Power Pack Hydraulic,D070,No Power
Power Pack Hydraulic,D999,Other Reason (Explain)
Power Pack Hydraulic,D048,Other Reason [Explain]
Power Pack Hydraulic,D012,"Siezed (Stuck,Frozen,Jammed)"
Power Pack Hydraulic,D063,Worn
Pulley,D074,Bearing Cage Failure
Pulley,D075,Bearing Inner Race
Pulley,D076,Bearing Outer Race
Pulley,D077,"Bearing Sleeve Failure, Looseness"
Pulley,D017,Bent
Pulley,D019,Broken
Pulley,D022,Coating/Lining failure
Pulley,D178,Collapsed
Pulley,D024,Corroded
Pulley,D025,Cracked
Pulley,D084,"Cracked, Work Shell"
Pulley,D221,Damaged
Pulley,D005,"Deformed (Bent,Twisted)"
Pulley,D229,Drift
Pulley,D007,End of Life
Pulley,D028,Failed
Pulley,D087,Grease Lines
Pulley,D089,Housing Damage
Pulley,D090,Housing Seal Failure
Pulley,D091,Lagging Failure
Pulley,D037,Leaking
Pulley,D092,Locking Element Failure
Pulley,D008,Loose (Detached)
Pulley,D009,Misalignment
Pulley,D998,No Fault Found
Pulley,D071,Noisy
Pulley,D999,Other Reason (Explain)
Pulley,D158,Seized/Jammed
Pulley,D095,Shaft Damage
Pulley,D012,"Siezed (Stuck,Frozen,Jammed)"
Pulley,D056,Snapped Shaft
Pulley,D060,Vibration/Noisy
Pulley,D063,Worn
Pump,D001,Blockage
Pump,D019,Broken
Pump,D003,"Burnt (Fused,Melted)"
Pump,D218,Bypassing
Pump,D024,Corroded
Pump,D025,Cracked
Pump,D221,Damaged
Pump,D005,"Deformed (Bent,Twisted)"
Pump,D006,"Deteriorated (Worn,Corroded,Depleted)"
Pump,D007,End of Life
Pump,D028,Failed
Pump,D037,Leaking
Pump,D008,Loose (Detached)
Pump,D248,Loss
Pump,D039,Loss of Thickness
Pump,D998,No Fault Found
Pump,D047,Not Controlling
Pump,D999,Other Reason (Explain)
Pump,D052,Product leakage
Pump,D270,Rupture
Pump,D158,Seized/Jammed
Pump,D012,"Siezed (Stuck,Frozen,Jammed)"
Pump,D272,Slips
Pump,D056,Snapped Shaft
Pump,D063,Worn
Radiator Engine,D001,Blockage
Radiator Engine,D024,Corroded
Radiator Engine,D025,Cracked
Radiator Engine,D221,Damaged
Radiator Engine,D006,"Deteriorated (Worn,Corroded,Depleted)"
Radiator Engine,D028,Failed
Radiator Engine,D235,Hardened
Radiator Engine,D242,Ineffective
Radiator Engine,D243,Inefficient
Radiator Engine,D037,Leaking
Radiator Engine,D008,Loose (Detached)
Radiator Engine,D251,Low
Radiator Engine,D265,Perished
Radiator Engine,D267,Plugged
Radiator Engine,D063,Worn
Relay (Electrical),D002,"Broken (Cracked,Leaking,Holed)"
Relay (Electrical),D003,"Burnt (Fused,Melted)"
Relay (Electrical),D024,Corroded
Relay (Electrical),D025,Cracked
Relay (Electrical),D221,Damaged
Relay (Electrical),D005,"Deformed (Bent,Twisted)"
Relay (Electrical),D006,"Deteriorated (Worn,Corroded,Depleted)"
Relay (Electrical),D007,End of Life
Relay (Electrical),D028,Failed
Relay (Electrical),D031,Fault/Short Circuit
Relay (Electrical),D034,Frozen/Hot
Relay (Electrical),D244,Inoperable
Relay (Electrical),D008,Loose (Detached)
Relay (Electrical),D252,Malfunction
Relay (Electrical),D998,No Fault Found
Relay (Electrical),D070,No Power
Relay (Electrical),D999,Other Reason (Explain)
Relay (Electrical),D048,Other Reason [Explain]
Relay (Electrical),D012,"Siezed (Stuck,Frozen,Jammed)"
Relay (Electrical),D063,Worn
Rock Breaker,D028,Failed
Rock Breaker,D243,Inefficient
Rock Breaker,D158,Seized/Jammed
Rock Breaker,D063,Worn
Sampler,D002,"Broken (Cracked,Leaking,Holed)"
Sampler,D024,Corroded
Sampler,D025,Cracked
Sampler,D005,"Deformed (Bent,Twisted)"
Sampler,D006,"Deteriorated (Worn,Corroded,Depleted)"
Sampler,D007,End of Life
Sampler,D028,Failed
Sampler,D034,Frozen/Hot
Sampler,D243,Inefficient
Sampler,D008,Loose (Detached)
Sampler,D009,Misalignment
Sampler,D998,No Fault Found
Sampler,D070,No Power
Sampler,D999,Other Reason (Explain)
Sampler,D158,Seized/Jammed
Sampler,D012,"Siezed (Stuck,Frozen,Jammed)"
Sampler,D063,Worn
Scraper (Conveyor),D017,Bent
Scraper (Conveyor),D019,Broken
Scraper (Conveyor),D022,Coating/Lining failure
Scraper (Conveyor),D024,Corroded
Scraper (Conveyor),D025,Cracked
Scraper (Conveyor),D221,Damaged
Scraper (Conveyor),D005,"Deformed (Bent,Twisted)"
Scraper (Conveyor),D006,"Deteriorated (Worn,Corroded,Depleted)"
Scraper (Conveyor),D007,End of Life
Scraper (Conveyor),D028,Failed
Scraper (Conveyor),D243,Inefficient
Scraper (Conveyor),D008,Loose (Detached)
Scraper (Conveyor),D998,No Fault Found
Scraper (Conveyor),D999,Other Reason (Explain)
Scraper (Conveyor),D012,"Siezed (Stuck,Frozen,Jammed)"
Scraper (Conveyor),D056,Snapped Shaft
Scraper (Conveyor),D063,Worn
Screen,D019,Broken
Screen,D024,Corroded
Screen,D025,Cracked
Screen,D221,Damaged
Screen,D028,Failed
Screen,D008,Loose (Detached)
Screen,D063,Worn
Screens,D001,Blockage
Screens,D002,"Broken (Cracked,Leaking,Holed)"
Screens,D003,"Burnt (Fused,Melted)"
Screens,D022,Coating/Lining failure
Screens,D007,End of Life
Screens,D031,Fault/Short Circuit
Screens,D035,High Temp
Screens,D037,Leaking
Screens,D008,Loose (Detached)
Screens,D041,Lube/Service leakage
Screens,D998,No Fault Found
Screens,D999,Other Reason (Explain)
Screens,D060,Vibration/Noisy
Screens,D063,Worn
Scrubber,D001,Blockage
Scrubber,D002,"Broken (Cracked,Leaking,Holed)"
Scrubber,D003,"Burnt (Fused,Melted)"
Scrubber,D022,Coating/Lining failure
Scrubber,D007,End of Life
Scrubber,D031,Fault/Short Circuit
Scrubber,D035,High Temp
Scrubber,D037,Leaking
Scrubber,D008,Loose (Detached)
Scrubber,D041,Lube/Service leakage
Scrubber,D998,No Fault Found
Scrubber,D999,Other Reason (Explain)
Scrubber,D060,Vibration/Noisy
Scrubber,D063,Worn
Spray Cannon Water,D002,"Broken (Cracked,Leaking,Holed)"
Spray Cannon Water,D024,Corroded
Spray Cannon Water,D025,Cracked
Spray Cannon Water,D005,"Deformed (Bent,Twisted)"
Spray Cannon Water,D006,"Deteriorated (Worn,Corroded,Depleted)"
Spray Cannon Water,D007,End of Life
Spray Cannon Water,D034,Frozen/Hot
Spray Cannon Water,D008,Loose (Detached)
Spray Cannon Water,D998,No Fault Found
Spray Cannon Water,D070,No Power
Spray Cannon Water,D999,Other Reason (Explain)
Spray Cannon Water,D048,Other Reason [Explain]
Spray Cannon Water,D012,"Siezed (Stuck,Frozen,Jammed)"
Spray Cannon Water,D063,Worn
Starter Motor,D025,Cracked
Starter Motor,D028,Failed
Starter Motor,D008,Loose (Detached)
Starter Motor,D249,Loss of Power
Starter Motor,D042,Missing
Structure/Platform/Stand,D017,Bent
Structure/Platform/Stand,D001,Blockage
Structure/Platform/Stand,D019,Broken
Structure/Platform/Stand,D002,"Broken (Cracked,Leaking,Holed)"
Structure/Platform/Stand,D003,"Burnt (Fused,Melted)"
Structure/Platform/Stand,D105,Calibration Fault
Structure/Platform/Stand,D022,Coating/Lining failure
Structure/Platform/Stand,D024,Corroded
Structure/Platform/Stand,D025,Cracked
Structure/Platform/Stand,D221,Damaged
Structure/Platform/Stand,D005,"Deformed (Bent,Twisted)"
Structure/Platform/Stand,D006,"Deteriorated (Worn,Corroded,Depleted)"
Structure/Platform/Stand,D227,Dirty
Structure/Platform/Stand,D028,Failed
Structure/Platform/Stand,D033,Frayed
Structure/Platform/Stand,D015,Hollowed
Structure/Platform/Stand,D237,Illegible
Structure/Platform/Stand,D239,Inaccurate
Structure/Platform/Stand,D008,Loose (Detached)
Structure/Platform/Stand,D039,Loss of Thickness
Structure/Platform/Stand,D252,Malfunction
Structure/Platform/Stand,D042,Missing
Structure/Platform/Stand,D998,No Fault Found
Structure/Platform/Stand,D999,Other Reason (Explain)
Structure/Platform/Stand,D158,Seized/Jammed
Structure/Platform/Stand,D058,Structural Damage
Structure/Platform/Stand,D063,Worn
Switchboard,D211,Arc Flash
Switchboard,D002,"Broken (Cracked,Leaking,Holed)"
Switchboard,D003,"Burnt (Fused,Melted)"
Switchboard,D004,Contaminated
Switchboard,D024,Corroded
Switchboard,D025,Cracked
Switchboard,D221,Damaged
Switchboard,D005,"Deformed (Bent,Twisted)"
Switchboard,D006,"Deteriorated (Worn,Corroded,Depleted)"
Switchboard,D007,End of Life
Switchboard,D028,Failed
Switchboard,D031,Fault/Short Circuit
Switchboard,D034,Frozen/Hot
Switchboard,D008,Loose (Detached)
Switchboard,D998,No Fault Found
Switchboard,D070,No Power
Switchboard,D999,Other Reason (Explain)
Switchboard,D048,Other Reason [Explain]
Switchboard,D049,Overheating
Switchboard,D051,PLC Fault
Switchboard,D012,"Siezed (Stuck,Frozen,Jammed)"
Switchboard,D063,Worn
System Dust Surpression,D017,Bent
System Dust Surpression,D001,Blockage
System Dust Surpression,D002,"Broken (Cracked,Leaking,Holed)"
System Dust Surpression,D022,Coating/Lining failure
System Dust Surpression,D024,Corroded
System Dust Surpression,D025,Cracked
System Dust Surpression,D221,Damaged
System Dust Surpression,D005,"Deformed (Bent,Twisted)"
System Dust Surpression,D006,"Deteriorated (Worn,Corroded,Depleted)"
System Dust Surpression,D227,Dirty
System Dust Surpression,D007,End of Life
System Dust Surpression,D028,Failed
System Dust Surpression,D015,Hollowed
System Dust Surpression,D037,Leaking
System Dust Surpression,D008,Loose (Detached)
System Dust Surpression,D039,Loss of Thickness
System Dust Surpression,D998,No Fault Found
System Dust Surpression,D999,Other Reason (Explain)
System Dust Surpression,D052,Product leakage
System Dust Surpression,D158,Seized/Jammed
System Dust Surpression,D063,Worn
Thermostats,D001,Blockage
Thermostats,D221,Damaged
Thermostats,D251,Low
Thickener/Tank,D017,Bent
Thickener/Tank,D001,Blockage
Thickener/Tank,D019,Broken
Thickener/Tank,D002,"Broken (Cracked,Leaking,Holed)"
Thickener/Tank,D218,Bypassing
Thickener/Tank,D022,Coating/Lining failure
Thickener/Tank,D004,Contaminated
Thickener/Tank,D024,Corroded
Thickener/Tank,D025,Cracked
Thickener/Tank,D221,Damaged
Thickener/Tank,D222,Defective
Thickener/Tank,D005,"Deformed (Bent,Twisted)"
Thickener/Tank,D224,Depleted
Thickener/Tank,D006,"Deteriorated (Worn,Corroded,Depleted)"
Thickener/Tank,D230,Empty
Thickener/Tank,D007,End of Life
Thickener/Tank,D234,Full
Thickener/Tank,D015,Hollowed
Thickener/Tank,D037,Leaking
Thickener/Tank,D008,Loose (Detached)
Thickener/Tank,D039,Loss of Thickness
Thickener/Tank,D251,Low
Thickener/Tank,D998,No Fault Found
Thickener/Tank,D999,Other Reason (Explain)
Thickener/Tank,D264,Over-Filled
Thickener/Tank,D052,Product leakage
Thickener/Tank,D275,Spill
Thickener/Tank,D058,Structural Damage
Thickener/Tank,D063,Worn
Tools Other,D028,Failed
Tools Other,D031,Fault/Short Circuit
Tools Other,D008,Loose (Detached)
Transformer,D211,Arc Flash
Transformer,D212,Auxilliary Fault
Transformer,D001,Blockage
Transformer,D019,Broken
Transformer,D003,"Burnt (Fused,Melted)"
Transformer,D022,Coating/Lining failure
Transformer,D004,Contaminated
Transformer,D024,Corroded
Transformer,D025,Cracked
Transformer,D005,"Deformed (Bent,Twisted)"
Transformer,D006,"Deteriorated (Worn,Corroded,Depleted)"
Transformer,D026,Down to Earth
Transformer,D007,End of Life
Transformer,D028,Failed
Transformer,D031,Fault/Short Circuit
Transformer,D035,High Temp
Transformer,D237,Illegible
Transformer,D244,Inoperable
Transformer,D245,Internal Failure
Transformer,D037,Leaking
Transformer,D008,Loose (Detached)
Transformer,D251,Low
Transformer,D998,No Fault Found
Transformer,D257,Not Fully Assembled
Transformer,D999,Other Reason (Explain)
Transformer,D049,Overheating
Transformer,D167,Short Circuit
Transformer,D013,Trip (Action of Safety Device)
Transformer,D063,Worn
Trolley,D017,Bent
Trolley,D002,"Broken (Cracked,Leaking,Holed)"
Trolley,D022,Coating/Lining failure
Trolley,D024,Corroded
Trolley,D025,Cracked
Trolley,D221,Damaged
Trolley,D005,"Deformed (Bent,Twisted)"
Trolley,D006,"Deteriorated (Worn,Corroded,Depleted)"
Trolley,D015,Hollowed
Trolley,D008,Loose (Detached)
Trolley,D039,Loss of Thickness
Trolley,D998,No Fault Found
Trolley,D999,Other Reason (Explain)
Trolley,D058,Structural Damage
Trolley,D063,Worn
Turbocharger,D024,Corroded
Turbocharger,D222,Defective
Turbocharger,D224,Depleted
Turbocharger,D006,"Deteriorated (Worn,Corroded,Depleted)"
Turbocharger,D028,Failed
Turbocharger,D236,High Resistance
UPS,D002,"Broken (Cracked,Leaking,Holed)"
UPS,D003,"Burnt (Fused,Melted)"
UPS,D004,Contaminated
UPS,D024,Corroded
UPS,D025,Cracked
UPS,D222,Defective
UPS,D005,"Deformed (Bent,Twisted)"
UPS,D224,Depleted
UPS,D006,"Deteriorated (Worn,Corroded,Depleted)"
UPS,D007,End of Life
UPS,D028,Failed
UPS,D031,Fault/Short Circuit
UPS,D034,Frozen/Hot
UPS,D236,High Resistance
UPS,D244,Inoperable
UPS,D008,Loose (Detached)
UPS,D998,No Fault Found
UPS,D070,No Power
UPS,D999,Other Reason (Explain)
UPS,D048,Other Reason [Explain]
UPS,D051,PLC Fault
UPS,D012,"Siezed (Stuck,Frozen,Jammed)"
UPS,D063,Worn
Valve,D001,Blockage
Valve,D019,Broken
Valve,D003,"Burnt (Fused,Melted)"
Valve,D024,Corroded
Valve,D025,Cracked
Valve,D221,Damaged
Valve,D005,"Deformed (Bent,Twisted)"
Valve,D006,"Deteriorated (Worn,Corroded,Depleted)"
Valve,D007,End of Life
Valve,D028,Failed
Valve,D237,Illegible
Valve,D241,Incorrect Position
Valve,D244,Inoperable
Valve,D037,Leaking
Valve,D008,Loose (Detached)
Valve,D039,Loss of Thickness
Valve,D042,Missing
Valve,D998,No Fault Found
Valve,D071,Noisy
Valve,D047,Not Controlling
Valve,D999,Other Reason (Explain)
Valve,D265,Perished
Valve,D052,Product leakage
Valve,D158,Seized/Jammed
Valve,D012,"Siezed (Stuck,Frozen,Jammed)"
Valve,D056,Snapped Shaft
Valve,D063,Worn
Variable Speed Drive,D001,Blockage
Variable Speed Drive,D002,"Broken (Cracked,Leaking,Holed)"
Variable Speed Drive,D003,"Burnt (Fused,Melted)"
Variable Speed Drive,D221,Damaged
Variable Speed Drive,D222,Defective
Variable Speed Drive,D006,"Deteriorated (Worn,Corroded,Depleted)"
Variable Speed Drive,D007,End of Life
Variable Speed Drive,D028,Failed
Variable Speed Drive,D031,Fault/Short Circuit
Variable Speed Drive,D141,Incorrect Operation
Variable Speed Drive,D244,Inoperable
Variable Speed Drive,D008,Loose (Detached)
Variable Speed Drive,D998,No Fault Found
Variable Speed Drive,D999,Other Reason (Explain)
Variable Speed Drive,D158,Seized/Jammed
Variable Speed Drive,D073,Smell Smoke
Variable Speed Drive,D060,Vibration/Noisy
Variable Speed Drive,D063,Worn
Weightometer,D017,Bent
Weightometer,D019,Broken
Weightometer,D003,"Burnt (Fused,Melted)"
Weightometer,D105,Calibration Fault
Weightometer,D024,Corroded
Weightometer,D025,Cracked
Weightometer,D221,Damaged
Weightometer,D005,"Deformed (Bent,Twisted)"
Weightometer,D007,End of Life
Weightometer,D028,Failed
Weightometer,D031,Fault/Short Circuit
Weightometer,D237,Illegible
Weightometer,D244,Inoperable
Weightometer,D008,Loose (Detached)
Weightometer,D998,No Fault Found
Weightometer,D070,No Power
Weightometer,D047,Not Controlling
Weightometer,D999,Other Reason (Explain)
Weightometer,D012,"Siezed (Stuck,Frozen,Jammed)"
Weightometer,D063,Worn
Winch Assembly,D998,No Fault Found
Winch Assembly,D999,Other Reason (Explain)
Winch Rope,D998,No Fault Found
Winch Rope,D999,Other Reason (Explain)
